Title	Category
Lena Dunham: I Feel Prettier With A Naked Face And ChapStick	e
REFILE-FOREX-Yen grinds lower as global stocks rally, dollar holds steady	b
Dolly Parton is a pint-size knickerbocker glittering glory	e
UPDATE 3-Shares of China's JD.com climb in US market debut	b
Seth Rogen talks about Zac Efrons sex appeal on chat show	e
UPDATE 1-Marlboro maker Philip Morris cuts 2014 earnings forecast	b
Walmart Strikes Deal That Will Hopefully Make Organic Food Cheaper	b
Julia Roberts - Julia Roberts opens up about half-sister's death	e
Top Official: VA Has Lost Trust Of Veterans, American People	m
From Cleaning Toilets to Intergalactic Royalty: Jupiter Ascending [Trailer +  ...	e
UPDATE 3-Sprint Q1 revs top estimate as network upgrade progresses	t
'My mother touched me I'm certain': Hip hop mogul gunned down at mom's  ...	e
Out of this world: Photos of Grand Canyon taken by astronauts show natural  ...	t
Putin in Vienna Amid Diplomatic Push to Deter Sanctions	b
Philips Mirrors Siemens in Parting Some Light Operations	b
L'wren Scott - Representative: 'L'wren Scott Was Not Planning Company Closure'	e
Samsung Galaxy S5 upstaged by South Korean mobile companies	t
Door-To-Door Mail Would Stop For Millions Under Proposed Law	b
US STOCKS-Wall St ends lower; S&P 500 in biggest 3-day drop since Jan	b
EBay Settles Icahn Proxy Fight, Adds Independent Director (3)	b
No-Exit Strategy May Be Fed Burden in Unwinding Stimulus	b
Sir Mick Jagger - Mick Jagger Struggled To Make James Brown Biopic	e
Emma Watson enlists the services of her fluffy pet rabbit for premiere of Noah	e
Stephen Colbert Responds To #CancelColbert Backlash Following Racial Tweet	e
David Chase Backtracks, Maybe Tony Soprano DID Die in that Diner	e
McDonald's, not only franchisees, liable in worker complaints: NLRB	b
DirecTV to US lawmakers on AT&T deal: broadband 'changing everything'	b
Study To Test 'Chocolate Pills' For Heart Health	m
'22 Jump Street' Tops US Box Office But Are New Releases This Weekend  ...	e
UPDATE 1-IMF: global recovery to accelerate in 2015, no brutal slowdown in  ...	b
Harrison Ford's wife Calista Flockhart travels to be at his hospital bedside	e
NTSB report reveals pilots in last year's Asiana plane crash were 'confused by  ...	b
Facebook takes aim at Snapchat with new slingshot self destructing message app	t
Fitch Revises Swedbank's Outlook to Positive; Affirms IDR at 'A+'	b
Coca-Cola to drop controversial flame retardant chemical ingredient after teen  ...	b
'Love is my reason to live': The Bachelorette contestant Eric Hill appears in final  ...	e
US STOCKS-Futures slightly higher with indexes at records	b
